id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,total_of_bookings,last_review,booking_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,year,month,dayname,estimated_revenue,initial_revenue,recommended_minimum_nights,recommended_price_per_night,recommended_revenue_min_nights,extended_stay_price,recommended_revenue_extended_stay,last_minute_discount,recommended_revenue_last_minute,total_recommended_revenue
21478284,★4BDs Design House ★ w/ large living and working,155994967,Vittaya,Phaya Thai,13.78335,100.54137,Entire home/apt,8321,1,144,2022-12-06,2.28,4,97,30,2022,12,Tuesday,18971.879999999997,18971.879999999997,2,9153.1,41738.136,70021.21500000001,39912.09255,7963.197,3631.217832,85281.446382
21209134,2BR2BA/kitchen/3MinwalkBTS/Hispeedwifi/Selfcheckin,39878043,Yimmy,Bang Rak,13.72124,100.52181,Entire home/apt,1935,1,204,2022-12-26,3.23,5,305,31,2022,12,Monday,6250.05,6250.05,2,2128.5,13750.11,16283.025,13148.5426875,1851.795,1196.2595700000002,28094.9122575
21222241,Chao Phraya River View Designer Studio,8713347,Thanida,Bang Kho laen,13.70798,100.51071,Entire home/apt,950,5,103,2022-12-14,1.65,1,265,2,2022,12,Wednesday,7837.5,7837.5,2,1045.0,3448.5,7994.25,3297.6281249999997,909.15,300.0195,7046.147625
21492310,MENAM RESIDENCES,81100933,Meiji,Bang Kho laen,13.70701,100.50549,Private room,1300,30,1,2017-12-23,0.02,1,87,0,2017,12,Saturday,780.0,780.0,2,1430.0000000000002,57.20000000000001,10939.500000000002,54.69750000000001,1244.1000000000001,4.976400000000001,116.87390000000002
21233147,1BR 60 sqm. ( 3C),23290999,Chanya,Vadhana,13.73275,100.56996,Entire home/apt,1371,2,54,2022-12-14,0.87,7,70,21,2022,12,Wednesday,2385.54,2385.54,2,1576.6499999999999,2743.3709999999996,12061.372499999998,2623.3485187499996,1371.6854999999998,238.67327699999998,5605.392795749999
21819972,Richpark (Bang Son),157380368,Pariyachat,Bang Sue,13.82353,100.5315,Private room,2424,4,79,2022-12-26,1.27,1,356,2,2022,12,Monday,12313.92,12313.92,2,2666.4,6772.656,20397.960000000003,6476.352300000001,2319.768,589.221072,13838.229372000002
21820248,"Skytrain3mins,50MbpsWiFi, KingBed,Netflix, PoolGym",36009950,Sunny,Chom Thong,13.71344,100.46738,Entire home/apt,1500,6,73,2022-12-25,1.19,11,331,10,2022,12,Sunday,10710.0,10710.0,2,1650.0000000000002,3927.0000000000005,12622.500000000002,3755.1937500000004,1435.5000000000002,341.64900000000006,8023.842750000001
21245034,ZZz CozyHouse near Don Mueang Airport-10 mins walk,26555568,Peony,Don Mueang,13.92425,100.59831,Private room,700,1,3,2022-12-24,0.05,3,347,2,2022,12,Saturday,35.0,35.0,2,770.0000000000001,77.00000000000001,5890.500000000001,73.63125000000001,669.9000000000001,6.6990000000000025,157.33025000000004
21524463,Ideal location 8-bed room with private bathroomA/C,83023551,Yaya,Bang Rak,13.72623,100.52091,Shared room,390,1,1,2017-12-04,0.02,8,365,0,2017,12,Monday,7.8,7.8,2,429.00000000000006,17.160000000000004,3281.8500000000004,16.409250000000004,373.2300000000001,1.4929200000000002,35.06217000000001
21824058,"Private Room, Cozy & Clean by Smile GrayRoom",158682198,Miley,Din Daeng,13.77721,100.56063,Private room,700,2,126,2022-12-15,2.04,2,347,13,2022,12,Thursday,2856.0,2856.0,2,770.0000000000001,3141.6000000000004,5890.500000000001,3004.1550000000007,669.9000000000001,273.3192000000001,6419.074200000001
21830417,"Charming 1 BedRM @Sukhumvit, Bangkok",145425860,Jia-Yi,Khlong Toei,13.72635,100.56357,Entire home/apt,1247,2,76,2022-12-23,1.25,5,252,6,2022,12,Friday,3117.5,3117.5,2,1434.05,3585.125,10970.482499999998,3428.2757812499995,1247.6235,311.905875,7325.30665625
21831246,Chateau in Town Sukhumvit 62/1-2-5mins walk to BTS,159162615,ธัญญาวีร์,Phra Khanong,13.69338,100.60455,Private room,700,12,2,2017-12-07,0.03,1,363,0,2017,12,Thursday,252.0,252.0,2,770.0000000000001,46.2,5890.500000000001,44.17875000000001,669.9000000000001,4.019400000000001,94.39815000000002
21249824,Cozy private room surrounded by street food,72574013,Bank,Din Daeng,13.77258,100.55768,Private room,500,1,107,2022-12-11,1.69,2,355,2,2022,12,Sunday,845.0,845.0,2,550.0,1859.0,4207.5,1777.66875,478.5,161.733,3798.40175
21835287,Private One-bedroom Suite near BTS Phyathai,112970036,Tip,Ratchathewi,13.75737,100.52854,Private room,1200,3,58,2022-12-15,0.94,4,253,12,2022,12,Thursday,3384.0,3384.0,2,1320.0,2481.6,10098.0,2373.0299999999997,1148.4,215.8992,5070.529199999999
